   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 0- 1	 1- 5	 3- 2	   185502.97	Ej Spelad	1.00	 1
 0- 1	 1- 5	 3- 3	    92074.21	Ej Spelad	1.00	 1
 0- 1	 1- 5	 4- 1	   251352.50	Ej Spelad	1.00	 1
 0- 1	 1- 5	 4- 2	   220769.69	Ej Spelad	1.00	 1
 0- 1	 1- 5	 4- 4	   184148.42	Ej Spelad	1.00	 1
 0- 1	 1- 6	 3- 3	   195308.94	Ej Spelad	1.00	 1
 0- 1	 2- 0	 2- 1	   221272.08	Ej Spelad	1.00	 1
 0- 1	 2- 0	 2- 2	   115559.35	Ej Spelad	1.00	 1
 0- 1	 2- 0	 3- 1	   212662.27	Ej Spelad	1.00	 1
 0- 1	 2- 0	 3- 2	   174614.06	Ej Spelad	1.00	 1
 0- 1	 2- 0	 3- 3	    86669.52	Ej Spelad	1.00	 1
 0- 1	 2- 0	 4- 1	   236598.28	Ej Spelad	1.00	 1
 0- 1	 2- 0	 4- 2	   207810.66	Ej Spelad	1.00	 1
 0- 1	 2- 0	 4- 4	   173339.03	Ej Spelad	1.00	 1
 0- 1	 2- 1	 0- 3	   199793.98	Ej Spelad	1.00	 1
 0- 1	 2- 1	 1- 0	   252794.64	Ej Spelad	1.00	 1
 0- 1	 2- 1	 1- 2	   106820.55	Ej Spelad	1.00	 1
 0- 1	 2- 1	 1- 3	   104746.36	Ej Spelad	1.00	 1
 0- 1	 2- 1	 1- 4	   113567.11	Ej Spelad	1.00	 1
 0- 1	 2- 1	 2- 0	   212717.44	Ej Spelad	1.00	 1
 0- 1	 2- 1	 2- 1	    70618.75	Ej Spelad	1.00	 1
 0- 1	 2- 1	 2- 2	    36880.64	Ej Spelad	1.00	 1
 0- 1	 2- 1	 2- 3	    97197.09	Ej Spelad	1.00	 1
 0- 1	 2- 1	 2- 4	   112384.12	Ej Spelad	1.00	 1
 0- 1	 2- 1	 2- 5	   151956.00	Ej Spelad	1.00	 1
 0- 1	 2- 1	 3- 0	   129206.15	Ej Spelad	1.00	 1
 0- 1	 2- 1	 3- 1	    67870.94	Ej Spelad	1.00	 1
 0- 1	 2- 1	 3- 2	    55727.89	Ej Spelad	1.00	 1
 0- 1	 2- 1	 3- 3	    27660.48	Ej Spelad	1.00	 1
 0- 1	 2- 1	 3- 4	   140115.27	Ej Spelad	1.00	 1
 0- 1	 2- 1	 3- 5	   156360.52	Ej Spelad	1.00	 1
 0- 1	 2- 1	 4- 0	   249183.30	Ej Spelad	1.00	 1
 0- 1	 2- 1	 4- 1	    75510.09	Ej Spelad	1.00	 1
 0- 1	 2- 1	 4- 2	    66322.55	Ej Spelad	1.00	 1
 0- 1	 2- 1	 4- 3	   100825.61	Ej Spelad	1.00	 1
 0- 1	 2- 1	 4- 4	    55320.97	Ej Spelad	1.00	 1
 0- 1	 2- 1	 5- 1	   140667.98	Ej Spelad	1.00	 1
 0- 1	 2- 1	 5- 2	    94797.99	Ej Spelad	1.00	 1
 0- 1	 2- 1	 5- 3	   127319.93	Ej Spelad	1.00	 1
 0- 1	 2- 1	 5- 4	   249183.30	Ej Spelad	1.00	 1
 0- 1	 2- 1	 6- 3	   223626.03	Ej Spelad	1.00	 1
 0- 1	 2- 2	 0- 1	   207132.27	Ej Spelad	1.00	 1
 0- 1	 2- 2	 0- 2	   199734.69	Ej Spelad	1.00	 1
 0- 1	 2- 2	 0- 3	   103566.13	Ej Spelad	1.00	 1
 0- 1	 2- 2	 0- 4	   233023.80	Ej Spelad	1.00	 1
 0- 1	 2- 2	 1- 0	   131039.80	Ej Spelad	1.00	 1
 0- 1	 2- 2	 1- 2	    55371.99	Ej Spelad	1.00	 1
 0- 1	 2- 2	 1- 3	    54296.81	Ej Spelad	1.00	 1
 0- 1	 2- 2	 1- 4	    58869.17	Ej Spelad	1.00	 1
 0- 1	 2- 2	 1- 5	   169471.86	Ej Spelad	1.00	 1
 0- 1	 2- 2	 2- 0	   110265.20	Ej Spelad	1.00	 1
 0- 1	 2- 2	 2- 1	    36606.26	Ej Spelad	1.00	 1
 0- 1	 2- 2	 2- 2	    19117.62	Ej Spelad	1.00	 1
 0- 1	 2- 2	 2- 3	    50383.53	Ej Spelad	1.00	 1
 0- 1	 2- 2	 2- 4	    58255.95	Ej Spelad	1.00	 1
 0- 1	 2- 2	 2- 5	    78768.61	Ej Spelad	1.00	 1
 0- 1	 2- 2	 3- 0	    66975.90	Ej Spelad	1.00	 1
 0- 1	 2- 2	 3- 1	    35181.89	Ej Spelad	1.00	 1
 0- 1	 2- 2	 3- 2	    28887.37	Ej Spelad	1.00	 1
 0- 1	 2- 2	 3- 3	    14338.22	Ej Spelad	1.00	 1
 0- 1	 2- 2	 3- 4	    72630.80	Ej Spelad	1.00	 1
 0- 1	 2- 2	 3- 5	    81051.76	Ej Spelad	1.00	 1
 0- 1	 2- 2	 3- 6	   233023.80	Ej Spelad	1.00	 1
 0- 1	 2- 2	 4- 0	   129167.80	Ej Spelad	1.00	 1
