   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 0- 0	 1- 0	 6- 1	    98703.34	Ej Spelad	1.00	 1
 0- 0	 1- 1	 3- 1	     1998.04	Ej Spelad	1.00	 1
 0- 0	 1- 1	 3- 4	    29768.16	Ej Spelad	1.00	 1
 0- 0	 1- 1	 4- 0	     6435.89	Ej Spelad	1.00	 1
 0- 0	 1- 1	 4- 2	     8209.88	Ej Spelad	1.00	 1
 0- 0	 1- 1	 4- 3	    30493.85	Ej Spelad	1.00	 1
 0- 0	 1- 1	 4- 4	    45821.41	Ej Spelad	1.00	 1
 0- 0	 1- 1	 5- 0	    16419.77	Ej Spelad	1.00	 1
 0- 0	 1- 1	 5- 1	    23717.44	Ej Spelad	1.00	 1
 0- 0	 1- 1	 5- 2	    53364.24	Ej Spelad	1.00	 1
 0- 0	 1- 1	 6- 0	    55684.42	Ej Spelad	1.00	 1
 0- 0	 1- 1	 6- 1	    67407.45	Ej Spelad	1.00	 1
 0- 0	 1- 2	 1- 5	    80630.02	Ej Spelad	1.00	 1
 0- 0	 1- 2	 3- 1	     3398.16	Ej Spelad	1.00	 1
 0- 0	 1- 2	 3- 4	    50628.15	Ej Spelad	1.00	 1
 0- 0	 1- 2	 4- 0	    10945.82	Ej Spelad	1.00	 1
 0- 0	 1- 2	 4- 1	     9308.63	Ej Spelad	1.00	 1
 0- 0	 1- 2	 4- 2	    13962.94	Ej Spelad	1.00	 1
 0- 0	 1- 2	 4- 3	    51862.36	Ej Spelad	1.00	 1
 0- 0	 1- 2	 4- 4	    77930.67	Ej Spelad	1.00	 1
 0- 0	 1- 2	 5- 0	    27925.89	Ej Spelad	1.00	 1
 0- 0	 1- 2	 5- 1	    40337.39	Ej Spelad	1.00	 1
 0- 0	 1- 2	 5- 2	    90759.13	Ej Spelad	1.00	 1
 0- 0	 1- 2	 6- 0	    94705.18	Ej Spelad	1.00	 1
 0- 0	 1- 3	 3- 1	     7493.58	Ej Spelad	1.00	 1
 0- 0	 1- 3	 3- 2	    12741.07	Ej Spelad	1.00	 1
 0- 0	 1- 3	 3- 3	    34779.54	Ej Spelad	1.00	 1
 0- 0	 1- 3	 4- 0	    24137.61	Ej Spelad	1.00	 1
 0- 0	 1- 3	 4- 1	    20527.29	Ej Spelad	1.00	 1
 0- 0	 1- 3	 4- 2	    30790.93	Ej Spelad	1.00	 1
 0- 0	 1- 3	 5- 0	    61581.85	Ej Spelad	1.00	 1
 0- 0	 1- 3	 5- 1	    88951.56	Ej Spelad	1.00	 1
 0- 0	 1- 4	 2- 0	    14532.86	Ej Spelad	1.00	 1
 0- 0	 1- 4	 2- 1	    12433.67	Ej Spelad	1.00	 1
 0- 0	 1- 4	 2- 3	    58207.18	Ej Spelad	1.00	 1
 0- 0	 1- 4	 3- 0	    30900.25	Ej Spelad	1.00	 1
 0- 0	 1- 4	 3- 1	    24440.60	Ej Spelad	1.00	 1
 0- 0	 1- 4	 3- 2	    41555.50	Ej Spelad	1.00	 1
 0- 0	 1- 4	 4- 0	    78725.75	Ej Spelad	1.00	 1
 0- 0	 1- 4	 4- 1	    66950.53	Ej Spelad	1.00	 1
 0- 0	 1- 5	 0- 1	    44585.46	Ej Spelad	1.00	 1
 0- 0	 1- 5	 0- 2	    74331.91	Ej Spelad	1.00	 1
 0- 0	 1- 5	 1- 1	    24994.11	Ej Spelad	1.00	 1
 0- 0	 1- 5	 1- 2	    49605.32	Ej Spelad	1.00	 1
 0- 0	 1- 5	 2- 0	    44982.66	Ej Spelad	1.00	 1
 0- 0	 1- 5	 2- 1	    38485.17	Ej Spelad	1.00	 1
 0- 0	 1- 5	 2- 2	    60936.05	Ej Spelad	1.00	 1
 0- 0	 1- 5	 3- 0	    95643.61	Ej Spelad	1.00	 1
 0- 0	 1- 5	 3- 1	    75649.47	Ej Spelad	1.00	 1
 0- 0	 2- 0	 0- 3	    13580.31	Ej Spelad	1.00	 1
 0- 0	 2- 0	 0- 4	    46532.52	Ej Spelad	1.00	 1
 0- 0	 2- 0	 1- 4	    29851.05	Ej Spelad	1.00	 1
 0- 0	 2- 0	 2- 4	    35157.90	Ej Spelad	1.00	 1
 0- 0	 2- 0	 3- 0	     6244.51	Ej Spelad	1.00	 1
 0- 0	 2- 0	 3- 1	     4939.11	Ej Spelad	1.00	 1
 0- 0	 2- 0	 3- 2	     8397.79	Ej Spelad	1.00	 1
 0- 0	 2- 0	 3- 3	    22923.61	Ej Spelad	1.00	 1
 0- 0	 2- 0	 3- 4	    73586.30	Ej Spelad	1.00	 1
 0- 0	 2- 0	 4- 0	    15909.39	Ej Spelad	1.00	 1
 0- 0	 2- 0	 4- 1	    13529.78	Ej Spelad	1.00	 1
 0- 0	 2- 0	 4- 2	    20294.67	Ej Spelad	1.00	 1
 0- 0	 2- 0	 4- 3	    75380.20	Ej Spelad	1.00	 1
 0- 0	 2- 0	 5- 0	    40589.34	Ej Spelad	1.00	 1
 0- 0	 2- 0	 5- 1	    58629.04	Ej Spelad	1.00	 1
 0- 0	 2- 1	 2- 5	    96340.34	Ej Spelad	1.00	 1
 0- 0	 2- 1	 3- 0	     4182.77	Ej Spelad	1.00	 1
 0- 0	 2- 1	 3- 1	     3308.37	Ej Spelad	1.00	 1
 0- 0	 2- 1	 3- 3	    15354.95	Ej Spelad	1.00	 1
 0- 0	 2- 1	 3- 4	    49290.41	Ej Spelad	1.00	 1
 0- 0	 2- 1	 4- 0	    10656.60	Ej Spelad	1.00	 1
 0- 0	 2- 1	 4- 1	     9062.67	Ej Spelad	1.00	 1
 0- 0	 2- 1	 4- 2	    13594.00	Ej Spelad	1.00	 1
 0- 0	 2- 1	 4- 3	    50492.01	Ej Spelad	1.00	 1
 0- 0	 2- 1	 4- 4	    75871.52	Ej Spelad	1.00	 1
 0- 0	 2- 1	 5- 0	    27188.00	Ej Spelad	1.00	 1
 0- 0	 2- 1	 5- 1	    39271.56	Ej Spelad	1.00	 1
 0- 0	 2- 1	 5- 2	    88361.02	Ej Spelad	1.00	 1
 0- 0	 2- 1	 6- 0	    92202.80	Ej Spelad	1.00	 1
 0- 0	 2- 2	 3- 1	     4381.39	Ej Spelad	1.00	 1
 0- 0	 2- 2	 3- 2	     7449.52	Ej Spelad	1.00	 1
 0- 0	 2- 2	 3- 4	    65276.99	Ej Spelad	1.00	 1
 0- 0	 2- 2	 4- 0	    14112.91	Ej Spelad	1.00	 1
 0- 0	 2- 2	 4- 1	    12002.00	Ej Spelad	1.00	 1
 0- 0	 2- 2	 4- 2	    18003.01	Ej Spelad	1.00	 1
 0- 0	 2- 2	 4- 3	    66868.31	Ej Spelad	1.00	 1
 0- 0	 2- 2	 5- 0	    36006.02	Ej Spelad	1.00	 1
 0- 0	 2- 2	 5- 1	    52008.68	Ej Spelad	1.00	 1
 0- 0	 2- 3	 3- 0	    13479.97	Ej Spelad	1.00	 1
 0- 0	 2- 3	 3- 1	    10662.01	Ej Spelad	1.00	 1
 0- 0	 2- 3	 3- 2	    18128.24	Ej Spelad	1.00	 1
 0- 0	 2- 3	 3- 3	    49484.98	Ej Spelad	1.00	 1
 0- 0	 2- 3	 4- 0	    34343.45	Ej Spelad	1.00	 1
 0- 0	 2- 3	 4- 1	    29206.61	Ej Spelad	1.00	 1
 0- 0	 2- 3	 4- 2	    43809.91	Ej Spelad	1.00	 1
 0- 0	 2- 3	 5- 0	    87619.82	Ej Spelad	1.00	 1
 0- 0	 2- 4	 2- 0	    22491.33	Ej Spelad	1.00	 1
 0- 0	 2- 4	 2- 1	    19242.58	Ej Spelad	1.00	 1
 0- 0	 2- 4	 2- 3	    90082.52	Ej Spelad	1.00	 1
 0- 0	 2- 4	 3- 0	    47821.80	Ej Spelad	1.00	 1
 0- 0	 2- 4	 3- 1	    37824.73	Ej Spelad	1.00	 1
 0- 0	 2- 4	 3- 2	    64312.08	Ej Spelad	1.00	 1
 0- 0	 2- 5	 0- 1	    93629.48	Ej Spelad	1.00	 1
 0- 0	 2- 5	 1- 1	    52487.64	Ej Spelad	1.00	 1
 0- 0	 2- 5	 2- 0	    94463.59	Ej Spelad	1.00	 1
 0- 0	 2- 5	 2- 1	    80818.86	Ej Spelad	1.00	 1
 0- 0	 3- 0	 0- 0	     4940.56	Ej Spelad	1.00	 1
 0- 0	 3- 0	 0- 1	     5758.44	Ej Spelad	1.00	 1
 0- 0	 3- 0	 0- 2	     9600.34	Ej Spelad	1.00	 1
 0- 0	 3- 0	 0- 3	    26864.47	Ej Spelad	1.00	 1
 0- 0	 3- 0	 0- 4	    92050.30	Ej Spelad	1.00	 1
 0- 0	 3- 0	 1- 0	     4208.94	Ej Spelad	1.00	 1
 0- 0	 3- 0	 1- 1	     3228.11	Ej Spelad	1.00	 1
 0- 0	 3- 0	 1- 2	     6406.78	Ej Spelad	1.00	 1
 0- 0	 3- 0	 1- 3	    14523.02	Ej Spelad	1.00	 1
 0- 0	 3- 0	 1- 4	    59051.14	Ej Spelad	1.00	 1
 0- 0	 3- 0	 2- 0	     5809.74	Ej Spelad	1.00	 1
 0- 0	 3- 0	 2- 1	     4970.55	Ej Spelad	1.00	 1
 0- 0	 3- 0	 2- 2	     7870.20	Ej Spelad	1.00	 1
 0- 0	 3- 0	 2- 3	    23269.22	Ej Spelad	1.00	 1
 0- 0	 3- 0	 2- 4	    69549.12	Ej Spelad	1.00	 1
 0- 0	 3- 0	 3- 0	    12352.85	Ej Spelad	1.00	 1
 0- 0	 3- 0	 3- 1	     9770.51	Ej Spelad	1.00	 1
 0- 0	 3- 0	 3- 2	    16612.46	Ej Spelad	1.00	 1
 0- 0	 3- 0	 3- 3	    45347.33	Ej Spelad	1.00	 1
 0- 0	 3- 0	 4- 0	    31471.84	Ej Spelad	1.00	 1
 0- 0	 3- 0	 4- 1	    26764.51	Ej Spelad	1.00	 1
 0- 0	 3- 0	 4- 2	    40146.77	Ej Spelad	1.00	 1
