   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 2- 1	 5- 1	 0- 0	     7263.58	Ej Spelad	1.00	 1
 2- 1	 5- 2	 0- 0	     7263.58	Ej Spelad	1.00	 1
 2- 1	 5- 3	 0- 0	     3804.73	Ej Spelad	1.00	 1
 2- 1	 5- 4	 0- 0	     3994.97	Ej Spelad	1.00	 1
 2- 1	 5- 5	 0- 0	     4031.25	Ej Spelad	1.00	 1
 2- 1	 5- 6	 0- 0	     6903.52	Ej Spelad	1.00	 1
 2- 1	 5- 7	 0- 0	    11045.63	Ej Spelad	1.00	 1
 2- 1	 6- 2	 0- 0	    13316.56	Ej Spelad	1.00	 1
 2- 1	 6- 3	 0- 0	     3994.97	Ej Spelad	1.00	 1
 2- 1	 6- 4	 0- 0	     3329.14	Ej Spelad	1.00	 1
 2- 1	 6- 5	 0- 0	     7989.94	Ej Spelad	1.00	 1
 2- 1	 6- 7	 0- 0	    13807.03	Ej Spelad	1.00	 1
 2- 1	 7- 2	 0- 0	    11414.20	Ej Spelad	1.00	 1
 2- 1	 7- 3	 0- 0	    11414.20	Ej Spelad	1.00	 1
 2- 1	 7- 4	 0- 0	    11414.20	Ej Spelad	1.00	 1
 2- 1	 7- 5	 0- 0	    11414.20	Ej Spelad	1.00	 1
 2- 1	 7- 6	 0- 0	    13316.56	Ej Spelad	1.00	 1
 2- 1	 8- 2	 0- 0	    13316.56	Ej Spelad	1.00	 1
 2- 2	 0- 2	 0- 0	     7339.29	Ej Spelad	1.00	 1
 2- 2	 0- 3	 0- 0	     2935.71	Ej Spelad	1.00	 1
 2- 2	 1- 2	 0- 0	     1334.42	Ej Spelad	1.00	 1
 2- 2	 1- 3	 0- 0	     2935.71	Ej Spelad	1.00	 1
 2- 2	 1- 4	 0- 0	     2935.71	Ej Spelad	1.00	 1
 2- 2	 1- 5	 0- 0	     1834.82	Ej Spelad	1.00	 1
 2- 2	 1- 6	 0- 0	     7339.29	Ej Spelad	1.00	 1
 2- 2	 2- 4	 0- 0	     2096.94	Ej Spelad	1.00	 1
 2- 2	 2- 7	 0- 0	     2446.43	Ej Spelad	1.00	 1
 2- 2	 2- 8	 0- 0	     2935.71	Ej Spelad	1.00	 1
 2- 2	 3- 0	 0- 0	     4247.14	Ej Spelad	1.00	 1
 2- 2	 3- 4	 0- 0	      667.21	Ej Spelad	1.00	 1
 2- 2	 3- 5	 0- 0	      815.48	Ej Spelad	1.00	 1
 2- 2	 3- 6	 0- 0	     1334.42	Ej Spelad	1.00	 1
